City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Asyut,EG,82.27,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
469,Palaikastron,GR,75.92,clear sky,35.2,26.25,Marina Village
472,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
475,Dawlatabad,AF,85.57,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
478,Tura,IN,82.06,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
479,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
481,Pivijay,CO,76.48,overcast clouds,10.4617,-74.6162,Hospedaje La Posada
495,Hanzhong,CN,80.89,broken clouds,33.0728,107.0303,Guorui Hotel
498,Qeshm,IR,89.47,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
505,Ugoofaaru,MV,82.98,broken clouds,5.6667,73.0,Ungoofaaru Inn
514,Jakarta,ID,85.44,light rain,-6.2146,106.8451,HARRIS Hotel Tebet - Jakarta
528,Hetauda,NP,87.15,clear sky,27.4284,85.0322,Regal Hetauda Resort
530,Yarkovo,RU,79.11,scattered clouds,57.4028,67.0786,"Kfkh ""Ivanov S. M."""
537,Kandrian,PG,83.62,light rain,-6.2167,149.55,Kandrian Station
538,Katobu,ID,87.39,overcast clouds,-4.9408,122.5276,La Ode Husein
541,Pamanukan,ID,77.97,moderate rain,-6.2842,107.8106,Paris Day Hotel Pamanukan
542,Chico,US,87.69,few clouds,39.7285,-121.8375,Quality Inn Near Chico State
547,Kavieng,PG,83.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
548,Surt,LY,80.1,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
550,Weinan,CN,88.84,broken clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
551,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
553,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
560,Garoua,CM,79.7,broken clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
561,Sulangan,PH,86.0,overcast clouds,11.1373,123.7228,Maia's Beach Resort
562,Beihai,CN,83.5,light rain,21.4833,109.1,21 Degree Hostel
564,Kapit,MY,85.24,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
573,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
579,Kidodi,TZ,76.06,broken clouds,-7.6036,37.0044,Royal Family Lodge
581,Kendari,ID,84.18,broken clouds,-3.945,122.4989,Hotel Wixel
584,Mahanoro,MG,76.5,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
585,Lhokseumawe,ID,85.93,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
588,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
597,Dong Xoai,VN,81.97,light rain,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
599,Hovd,MN,81.63,overcast clouds,48.0056,91.6419,Hotel Khovd
603,Cairns,AU,82.35,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
606,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
613,Kyshtovka,RU,78.37,overcast clouds,56.555,76.6271,Uyutnaya Mini-Hotel
614,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
623,Bontang,ID,81.21,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
631,Labuhan,ID,83.23,overcast clouds,-6.8844,112.2051,DoubleFAG
633,Kaihua,CN,78.76,overcast clouds,23.3687,104.28,Zhongyu Hotel
636,Matara,LK,82.87,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
639,Diffa,NE,84.61,clear sky,13.3154,12.6113,ProDAF/Diffa
645,Isfara,TJ,87.28,scattered clouds,40.1265,70.6253,Kottedzh
646,Laredo,US,75.49,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
647,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
650,Catuday,PH,85.21,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
652,Atar,MR,86.22,broken clouds,20.5169,-13.0499,Oumou Elghoura
655,Denpasar,ID,80.26,thunderstorm with rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
656,Gornopravdinsk,RU,80.1,broken clouds,60.05,69.9,Hostel
661,Sharjah,AE,89.89,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
664,Nenjiang,CN,75.29,overcast clouds,49.1833,125.2167,Nenjiang Apartment
665,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
666,Jalu,LY,84.04,clear sky,29.0331,21.5482,صاحبة الفخامة
668,Sabang,ID,84.42,overcast clouds,5.8933,95.3214,Hotel Citra
671,Dingle,PH,89.89,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
672,Luoyang,CN,88.47,broken clouds,34.6836,112.4536,易家国际青年旅舍
676,Siva,EG,78.87,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
678,Puerto Escondido,MX,80.65,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
