City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Ormara,PK,25.2088,64.6357,83.84,78,96,11.86,overcast clouds
293,Dunedin,NZ,-45.8742,170.5036,44.8,60,67,4.0,broken clouds
294,Husainabad,IN,24.5333,84.0167,102.0,16,6,8.28,clear sky
295,Coahuayana,MX,18.7333,-103.6833,72.95,91,100,0.09,overcast clouds
296,Ankpa,NG,7.3706,7.6253,70.61,96,93,4.54,light rain
297,Hambantota,LK,6.1241,81.1185,82.74,94,75,11.5,thunderstorm
298,General Pico,AR,-35.6566,-63.7568,37.85,79,2,5.57,clear sky
299,Lazaro Cardenas,MX,17.9583,-102.2,77.56,79,83,2.37,broken clouds
300,Vestmannaeyjar,IS,63.4427,-20.2734,44.56,80,43,9.78,scattered clouds
301,Victor Harbor,AU,-35.5667,138.6167,61.68,75,41,9.22,scattered clouds
302,Mount Isa,AU,-20.7333,139.5,82.17,21,0,13.8,clear sky
303,Nikolskoye,RU,59.7035,30.7861,51.87,57,93,7.36,light rain
304,Severomorsk,RU,69.0689,33.4162,54.0,61,39,8.23,scattered clouds
305,San Juan,AR,-31.5375,-68.5364,46.78,69,99,4.43,overcast clouds
306,Mishan,CN,45.55,131.8833,63.73,75,100,17.94,light rain
307,Zolotukhino,RU,52.0842,36.3772,62.67,80,80,7.56,broken clouds
308,Hamilton,US,39.1834,-84.5333,74.25,81,40,13.8,scattered clouds
309,Ust-Nera,RU,64.5667,143.2,49.44,62,92,9.48,light rain
310,Almeirim,BR,-1.5233,-52.5817,73.08,95,35,2.42,scattered clouds
311,Severo-Kurilsk,RU,50.6789,156.125,41.36,94,96,7.76,overcast clouds
312,Badarpur,IN,24.9,92.6,84.87,74,11,4.54,few clouds
313,Huari,PE,-9.3333,-77.2333,42.15,92,96,4.25,overcast clouds
314,Port Hardy,CA,50.6996,-127.4199,48.2,93,20,6.91,few clouds
315,San Javier,ES,37.8063,-0.8374,64.58,74,20,5.01,few clouds
316,Batagay-Alyta,RU,67.8006,130.4114,27.86,82,96,15.05,overcast clouds
317,Yatou,CN,37.15,122.3833,77.34,28,0,17.31,clear sky
318,Songea,TZ,-10.6833,35.65,63.19,86,0,1.77,clear sky
319,Rio Gallegos,AR,-51.6226,-69.2181,41.05,65,0,20.71,clear sky
320,San-Pedro,CI,4.7485,-6.6363,75.34,91,94,1.77,moderate rain
321,The Valley,AI,18.217,-63.0578,80.46,72,92,13.73,overcast clouds
322,Gashua,NG,12.871,11.0482,78.01,14,0,4.45,clear sky
323,Alta Floresta,BR,-9.8756,-56.0861,71.51,70,62,3.65,broken clouds
324,La Asuncion,VE,11.0333,-63.8628,78.53,94,100,11.5,overcast clouds
325,Port Lincoln,AU,-34.7333,135.8667,62.53,65,21,11.45,few clouds
326,Majagual,CO,8.5389,-74.6204,74.91,99,100,3.33,overcast clouds
327,Cap Malheureux,MU,-19.9842,57.6142,79.47,68,5,5.99,clear sky
328,Belmonte,BR,-15.8631,-38.8828,72.03,84,28,10.67,scattered clouds
329,Hilpoltstein,DE,49.19,11.1886,57.24,81,53,6.78,broken clouds
330,Gogrial,SS,8.5332,28.1004,79.66,62,99,6.24,overcast clouds
331,Mwinilunga,ZM,-11.7358,24.4293,50.41,56,0,2.95,clear sky
332,Dicabisagan,PH,17.0818,122.4157,89.08,68,98,11.99,overcast clouds
333,Corning,US,42.1428,-77.0547,64.44,67,0,10.36,clear sky
334,Kavaratti,IN,10.5669,72.642,83.68,74,87,6.22,overcast clouds
335,Escanaba,US,45.7453,-87.0646,51.94,100,100,5.75,light rain
